Recording	Participant	Timeline	TOI	Interval	Media	AOI	post	pre	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle			4	20368	229	67	933	89	32200	199	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.01691	18104	232	67	933	78	32416	150	3.00978	24981	1388	150	3298	18	32200	1265	25614	1423	183	3348	18	32200	1265	0			0			56	50945	33465	463.03	629.19													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 1			4	14856	222	67	583	67	33515	300	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.98497	12891	226	67	466	57	33515	300	2.9833	17238	862	83	2498	20	33515	1116	18170	909	117	2548	20	33465	1166	0			0			41	33465	50945	629.19	463.03													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 2			4	716	239	117	466	3	34498	133	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.13943	600	300	133	466	2	34498	133	3.1224	716	239	117	466	3	34498	133	799	266	117	516	3	34464	167	0			0			0	34464	60020	48.55	274.99													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 3			4	500	125	67	167	4	33865	117	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.88681	500	125	67	167	4	33865	117	2.88681	600	600	600	600	1	33865	600	650	650	650	650	1	33815	650	0			0			3	33815	34464	53.34	48.55													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 4			4	2915	208	67	450	14	33515	300	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.99143	2581	235	67	450	11	33515	300	2.97783	3048	305	67	816	10	33515	300	3381	338	83	833	10	33465	350	0			0			4	33465	33815	629.19	53.34													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 5			4	8710	242	67	583	36	43004	67	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.97929	7311	236	67	433	31	43004	67	2.98083	9726	648	183	1782	15	43004	550	10476	698	233	1849	15	42921	633	0			0			17	42921	50379	275.52	65.4													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 6			4	2015	202	100	366	10	38975	117	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.96962	1899	211	100	366	9	50412	117	2.98168	2148	358	117	550	6	38975	117	2382	397	117	616	6	38975	117	0			0			4	50379	50945	65.4	463.03													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 7			4	19386	223	67	883	87	92563	117	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.99645	19103	222	67	883	86	92563	117	2.99583	21751	777	100	2831	28	92563	2831	23317	833	150	2898	28	92497	2898	0			0			57	92497	95395	152.56	187.94													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 8			4	63950	295	67	1999	217	95445	233	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.98035	59741	290	67	1999	206	95445	233	2.98059	74538	1863	167	6360	40	95445	633	76653	1916	183	6427	40	95395	683	0			0			157	95395	96077	187.94	301.29													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 9			4	6529	297	133	1449	22	97127	200	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.97152	6529	297	133	1449	22	97127	200	2.97152	7295	811	200	2465	9	97127	1216	7761	862	217	2515	9	97093	1249	0			0			11	99209	98343	354.94	533.07													
