Recording	Participant	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Average_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording5	Participant1	Rectangle	20368	229	67	933	89	3.01691	24981	1388	150	3298	18	25614	1423	183	3348	18	56	50945	33465	463.03	629.19
Recording5	Participant1	Rectangle 1	14856	222	67	583	67	2.98497	17238	862	83	2498	20	18170	909	117	2548	20	41	33465	50945	629.19	463.03
Recording5	Participant1	Rectangle 2	716	239	117	466	3	3.13943	716	239	117	466	3	799	266	117	516	3	0	34464	60020	48.55	274.99
Recording5	Participant1	Rectangle 3	500	125	67	167	4	2.88681	600	600	600	600	1	650	650	650	650	1	3	33815	34464	53.34	48.55
Recording5	Participant1	Rectangle 4	2915	208	67	450	14	2.99143	3048	305	67	816	10	3381	338	83	833	10	4	33465	33815	629.19	53.34
Recording5	Participant1	Rectangle 5	8710	242	67	583	36	2.97929	9726	648	183	1782	15	10476	698	233	1849	15	17	42921	50379	275.52	65.4
Recording5	Participant1	Rectangle 6	2015	202	100	366	10	2.96962	2148	358	117	550	6	2382	397	117	616	6	4	50379	50945	65.4	463.03
Recording5	Participant1	Rectangle 7	19386	223	67	883	87	2.99645	21751	777	100	2831	28	23317	833	150	2898	28	57	92497	95395	152.56	187.94
Recording5	Participant1	Rectangle 8	63950	295	67	1999	217	2.98035	74538	1863	167	6360	40	76653	1916	183	6427	40	157	95395	96077	187.94	301.29
Recording5	Participant1	Rectangle 9	6529	297	133	1449	22	2.97152	7295	811	200	2465	9	7761	862	217	2515	9	11	99209	98343	354.94	533.07
Recording5	Participant1	Rectangle 10	15955	266	83	1199	60	2.98987	17887	745	133	3114	24	18820	784	167	3148	24	32	95395	96077	187.94	301.29
Recording5	Participant1	Rectangle 11	18865	314	67	1749	60	2.98282	21213	731	100	4014	29	22379	772	150	4014	29	27	99708	99975	480.66	48.94
Recording5	Participant1	Rectangle 12	9593	320	83	1366	30	2.96875	10493	617	100	1682	17	11275	663	100	1782	17	11	104472	104888	580.81	41.87
