Recording	Participant	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Average_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording3	Participant1	Rectangle	23432	213	32	583	110	3.24524	27879	1991	150	8028	14	28395	2028	200	8044	14	89	59433	52937	348.55	123.04
Recording3	Participant1	Rectangle 1	18154	230	67	583	79	3.30754	20719	1480	217	5962	14	21218	1516	233	6029	14	63	59016	59433	113.66	348.55
Recording3	Participant1	Rectangle 2	3831	213	133	450	18	3.30485	4214	527	150	1366	8	4480	560	200	1382	8	10	59016	59216	113.66	172.49
Recording3	Participant1	Rectangle 3	4214	222	67	516	19	3.27166	4480	407	83	866	11	5013	456	117	916	11	8	59216	59433	172.49	348.55
Recording3	Participant1	Rectangle 4	5796	232	117	533	25	3.32775	6296	787	250	1799	8	6529	816	266	1815	8	17	76321	77120	31.83	250.41
Recording3	Participant1	Rectangle 5	2815	235	100	500	12	3.32815	3048	1016	500	1832	3	3148	1049	533	1882	3	9	77120	87479	250.41	120.78
Recording3	Participant1	Rectangle 6	1516	253	150	583	6	3.29882	1582	527	433	583	3	1682	561	466	633	3	3	86314	86946	136.8	42.49
Recording3	Participant1	Rectangle 7	45238	427	20	2681	106	3.28611	50701	3621	117	15272	14	51334	3667	167	15289	14	81	128117	127534	212.24	213.67
Recording3	Participant1	Rectangle 8	24183	295	67	1316	82	3.27584	26148	1743	133	4847	15	26981	1799	200	4897	15	67	127534	128117	213.67	212.24
Recording3	Participant1	Rectangle 9	5180	273	167	733	19	3.25479	5579	1395	516	2049	4	5763	1441	583	2099	4	15	127534	128117	213.67	212.24
Recording3	Participant1	Rectangle 10	2015	202	67	466	10	3.283	2165	433	133	749	5	2398	480	200	816	5	5	138326	138643	70.12	113.42
Recording3	Participant1	Rectangle 11	7944	294	133	966	27	3.25202	8477	848	167	1982	10	8860	886	183	1999	10	17	128850	129266	289.1	48.14
Recording3	Participant1	Rectangle 12	5813	342	133	1316	17	3.31631	6146	1024	167	2681	6	6445	1074	233	2698	6	11	131315	131615	427.94	30.88
Recording3	Participant1	Rectangle 13	2848	356	150	583	8	3.28946	2998	999	500	1266	3	3114	1038	566	1282	3	5	143723	145005	38.4	309.55
Recording3	Participant1	Rectangle 14	18988	279	67	1182	68	3.27371	20471	682	83	3214	30	21920	731	100	3264	30	36	197584	197151	108.89	182.32
Recording3	Participant1	Rectangle 15	3547	209	133	350	17	3.27543	3847	550	150	1682	7	4114	588	167	1749	7	10	202181	202980	244.66	190.57
Recording3	Participant1	Rectangle 16	3847	202	83	633	19	3.33397	4180	464	83	1332	9	4597	511	117	1366	9	9	210408	207527	335.72	41.86
Recording3	Participant1	Rectangle 17	300	150	150	150	2	3.29182	300	150	150	150	2	333	167	167	167	2	0	229778	229944	154.44	243.09
Recording3	Participant1	Rectangle 18	1399	233	150	350	6	3.34738	1449	362	183	700	4	1599	400	233	733	4	2	214589	214822	102.15	71.95
Recording3	Participant1	Rectangle 19	1249	208	150	283	6	3.22449	1266	253	150	450	5	1466	293	183	500	5	1	202181	202681	244.66	78.51
Recording3	Participant1	Rectangle 20	383	192	133	250	2	3.14301	383	192	133	250	2	450	225	150	300	2	0	202681	202980	78.51	190.57
Recording3	Participant1	Rectangle 21	433	217	167	266	2	3.31936	433	217	167	266	2	516	258	233	283	2	0	213989	213756	236.02	494.8
Recording3	Participant1	Rectangle 22	3398	212	67	466	16	3.23552	3631	454	150	1049	8	3881	485	167	1099	8	8	200849	197584	172.5	108.89
