participant,type,exp_cnt,test,conf,ans,real_ans,res,te_time,conf_time,total_time,,XO,OX,OO,XX,,
dongik,pre,1,1,2,3,2,0,53.73467183,9.02444315,0,,,,,,,
dongik,pre,1,2,2,4,5,0,79.66602206,2.073506832,0,,,,,,,
dongik,pre,1,3,3,1,1,1,58.09459996,1.575358152,0,,,,,,,
dongik,pre,1,4,1,4,2,0,61.31114197,2.088471889,0,,,,,,,
dongik,pre,1,5,1,2,1,0,66.65711498,1.472333193,361.7536352,,,,,,,
dongik,post,1,1,5,4,4,1,58.77206397,1.696397066,0,XO,1,0,,,1,
dongik,post,1,2,3,2,2,1,109.39678,2.369549036,0,XO,1,0,,,1,
dongik,post,1,3,4,2,2,1,116.4394789,3.153458118,0,OO,0,0,1,0,1,
dongik,post,1,4,4,3,3,1,48.46115804,1.200271845,0,XO,1,0,,,1,
dongik,post,1,5,4,2,4,0,32.96446609,1.456744909,393.7380929,XX,0,0,0,1,1,
dongik,pre,2,1,4,1,4,0,28.53246999,1.719391823,0,,,,,,,
dongik,pre,2,2,5,4,4,1,16.95486212,1.648976088,0,,,,,,,
dongik,pre,2,3,3,4,5,0,26.01088285,4.76828599,0,,,,,,,
dongik,pre,2,4,3,3,3,1,55.60759711,1.921438932,0,,,,,,,
dongik,pre,2,5,3,4,5,0,82.94278693,1.868426085,244.9815321,,,,,,,
dongik,post,2,1,5,1,4,0,20.99077392,1.695384026,0,XX,0,0,0,1,1,
dongik,post,2,2,5,3,3,1,25.84428906,1.368309975,0,OO,0,0,1,0,1,
dongik,post,2,3,3,1,1,1,41.00429201,1.568445921,0,XO,1,0,,,1,
dongik,post,2,4,4,5,5,1,22.85980296,1.415923119,0,OO,0,0,1,0,1,
dongik,post,2,5,3,1,4,0,60.0395999,1.511591196,197.9953551,XX,0,0,0,1,1,
dongik,pre,3,1,5,3,3,1,66.51006603,1.422330856,0,,,,,,,
dongik,pre,3,2,4,4,1,0,18.92328811,1.408318996,0,,,,,,,
dongik,pre,3,3,4,4,4,1,41.20633507,1.910437822,0,,,,,,,
dongik,pre,3,4,4,5,5,1,82.39366508,2.303836107,0,,,,,,,
dongik,pre,3,5,2,2,4,0,33.31654692,1.864496946,275.1037428,,,,,,,
dongik,post,3,1,3,4,1,0,31.57865882,1.512029171,0,OX,0,1,,,1,
dongik,post,3,2,3,1,3,0,48.87006998,1.58436203,0,XX,0,0,0,1,1,
dongik,post,3,3,4,4,4,1,72.44782591,1.656377077,0,OO,0,0,1,0,1,
dongik,post,3,4,5,4,4,1,59.78381801,1.375413895,0,OO,0,0,1,0,1,
dongik,post,3,5,5,3,3,1,9.316112041,1.383744001,249.8881311,XO,1,0,,,1,
dongik,pre,4,1,4,4,4,1,41.87007308,1.912432909,0,,,,,,,
dongik,pre,4,2,2,5,4,0,43.62103415,1.528347015,0,,,,,,,
dongik,pre,4,3,3,3,3,1,29.26662779,1.775407076,0,,,,,,,
dongik,pre,4,4,1,4,1,0,69.62077498,1.984591007,0,,,,,,,
dongik,pre,4,5,4,2,2,1,39.99556208,1.621836901,297.375603,,,,,,,
dongik,post,4,1,4,2,5,0,66.75158787,1.416041136,0,OX,0,1,,,1,
dongik,post,4,2,4,5,5,1,90.03685284,2.695610046,0,XO,1,0,,,1,
